지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
232,천안,2021-05-19,32
232,천안,2021-05-21,12
232,천안,2021-05-22,22
232,천안,2021-05-23,29
232,천안,2021-05-24,110
232,천안,2021-05-25,87
232,천안,2021-05-26,38
232,천안,2021-05-27,31
232,천안,2021-05-29,26
232,천안,2021-05-31,29
232,천안,2021-06-01,34
